Catalog No,Box Number,Collection,Collector/Creator,Taxon/Item,Acquisition/Donar,Date Collected,Locality,Location,State,Country,Specimen Count,Specimen Nature,Database
CMNC 1984-0391,,Crustacea,"Johansen, Frits",Salmincola carpionis (Kroyer 1837) Wilson 1915,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNC 1984-0391 | Johansen 1915 41b | inner harbour,,,1,,
CMNFI 1958-0134.1,,Fish,"Johansen, Frits",Salvelinus alpinus (Linnaeus 1758),,,,"CMNFI 1958-0134 | JOHANSEN-24 JUL 1915-CMNFI 58-0134.1 | Inner Harbour at Bernard Harbour, Dolphin and Union Strait.",,,1,,
CMNC 2004-1567,,Crustacea,"Johansen, Frits","Monoculodes Stimpson, 1853",[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNC 1984-0391 | Johansen 1915 41b | inner harbour,,,3,,
CAN 10020193,,Vascular Plant,"Johansen, Frits",Puccinellia vahliana (Liebm.) Scribn. & Merr. Puccinellia vahliana (Liebm.) Scribn. & Merr.,,,,CAN 36444 | CAN 36444-Bernard Harbour(NU),,,1,,
CAN 10016037,,Vascular Plant,"Johansen, Frits",Poa glauca Vahl Poa glauca Vahl,,,,CAN 503958 | CAN 503958-Bernard Harbour(NU) | Bernard Harbour.,,,1,,
CAN 10026672,,Vascular Plant,"Johansen, Frits",Betula glandulosa Michx. Betula glandulosa Michx.,,,,CAN 41498 | CAN 41498-Bernard Harbour(NU) | Bernard Harbour.,,,1,,
CAN 10011544,,Vascular Plant,"Johansen, Frits",Elymus alaskanus subsp. alaskanus (Scribn. & Merr.) A. Love,,,,CAN 203109 | CAN 203109-Cape Bathurst(NT) | Cape Bathurst.,,,1,,
CAN 10016039,,Vascular Plant,"Johansen, Frits Jenness, Diamond",Poa glauca Vahl Poa glauca Vahl,,,,CAN 64122 | CAN 64122-Wollaston Land(NT) | Wollaston Land [Wollaston Peninsula],,,1,,
CAN 10033868,,Vascular Plant,"Johansen, Frits",Eriophorum angustifolium (Th.Fr.) Hadac & Á.Löve Eriophorum angustifolium (Th.Fr.) Hadac & Á.Löve,,,,CAN 28018 | CAN 28018-Bernard(NU) | Bernard Harbour,,,1,,
CAN 10045441,,Vascular Plant,"Johansen, Frits",Stellaria humifusa Rottb. Stellaria humifusa Rottb.,,,,CAN 28018 | CAN 28018-Bernard(NU) | Bernard Harbour,,,1,,
CAN 10045438,,Vascular Plant,"Johansen, Frits",Stellaria humifusa Rottb. Stellaria humifusa Rottb.,,,,CAN 28018 | CAN 28018-Bernard(NU) | Bernard Harbour,,,1,,
CAN 10002824,,Vascular Plant,"Johansen, Frits",Chamaenerion latifolium (Linnaeus) Sweet Chamaenerion latifolium (Linnaeus) Sweet Chamaenerion latifolium (Linnaeus) Sweet,,,,CAN 10002824 | CAN 10002824 | Bernard Harbour,,,1,,
CMNFI 1958-0115.1,,Fish,"Johansen, Frits",Myoxocephalus Tilesius 1811,,,,"CMNFI 1958-0115 | JOHANSEN-1 AUG 1915-CMNFI 58-0115.1 | Bernard Harbour, Dolphin and Union Strait",,,35,,
CAN 10072085,,Vascular Plant,"Johansen, Frits",Oxytropis arctica var. arctica R.Br. Oxytropis arctica var. arctica R.Br. Oxytropis roaldii Ostenfeld Oxytropis arctica R.Br.,,,,CAN 76927 | CAN 76927-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10079046,,Vascular Plant,"Johansen, Frits",Primula stricta Hornem. Primula stricta Hornem. Primula stricta Hornem. Primula stricta Hornem.,,,,CAN 28018 | CAN 28018-Bernard(NU) | Bernard Harbour,,,1,dry,
CAN 10084297,,Vascular Plant,"Johansen, Frits",Symphyotrichum pygmaeum (Lindley) Brouillet & Selliah Erigeron uniflorus L. Symphyotrichum pygmaeum (Lindley) Brouillet & Selliah,,,,CAN 243029 | CAN 243029-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10071572,,Vascular Plant,"Johansen, Frits",Astragalus richardsonii Sheldon Astragalus richardsonii Sheldon,,,,CAN 518388 | CAN 518388-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10072142,,Vascular Plant,"Johansen, Frits",Oxytropis arctica var. arctica R.Br. Oxytropis arctica var. arctica R.Br. Oxytropis roaldii Ostenfeld,,,,CAN 518388 | CAN 518388-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10080796,,Vascular Plant,"Johansen, Frits",Pedicularis capitata J.E. Adams Pedicularis capitata J.E. Adams,,,,CAN 518388 | CAN 518388-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10078636,,Vascular Plant,"Johansen, Frits",Pedicularis capitata J.E. Adams Pedicularis capitata J.E. Adams Pedicularis capitata J.E. Adams,,,,CAN 518388 | CAN 518388-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10053784,,Vascular Plant,"Johansen, Frits",Descurainia sophioides (Fisch.) O.E. Schulz Descurainia sophioides (Fisch.) O.E. Schulz,,,,CAN 10053784 | CAN 10053784-Bernard Harbour | Bernard Harbour,,,1,,
CMNI 1989-1195,,General Invertebrate,"Johansen, Frits",Strongylocentrotus droebachiensis (Muller 1776),[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,Johansen 1915 44c | Johansen 1915 44c | Coronation Gulf,,,1,,
CAN 10004624,,Vascular Plant,"Johansen, Frits",Equisetum arvense L. Equisetum arvense L.,,,,CAN 504484 | CAN 504484-Bernard(NU),,,1,,
CAN 10004626,,Vascular Plant,"Johansen, Frits",Equisetum arvense L. Equisetum arvense L.,,,,CAN 3310 | CAN 3310-Bernard(NU),,,1,,
CAN 10008599,,Vascular Plant,"Johansen, Frits",Alopecurus borealis Trinius Alopecurus borealis Trinius,,,,CAN 30522 | CAN 30522-Bernard Harbour(NU) | Bernard Harbour.,,,1,,
CAN 10016782,,Vascular Plant,"Johansen, Frits",Leymus mollis subsp. villosissimus (Scribn.) A. Löve,,,,CAN 40067 | CAN 40067-Bernard Harbour(NU) | Bernard Harbour.,,,1,,
CAN 10033869,,Vascular Plant,"Johansen, Frits",Eriophorum angustifolium (Th.Fr.) Hadac & Á.Löve Eriophorum angustifolium (Th.Fr.) Hadac & Á.Löve Eriophorum angustifolium Honck.,,,,CAN 28018 | CAN 28018-Bernard(NU) | Bernard Harbour,,,1,,
CAN 10048484,,Vascular Plant,"Johansen, Frits",Anemone parviflora Michx. Anemone parviflora Michx.,,,,CAN 28018 | CAN 28018-Bernard(NU) | Bernard Harbour,,,1,,
CAN 10048485,,Vascular Plant,"Johansen, Frits",Anemone parviflora Michx. Anemone parviflora Michx.,,,,CAN 28018 | CAN 28018-Bernard(NU) | Bernard Harbour,,,1,,
CAN 500327,,Vascular Plant,"Johansen, Frits",Potentilla rubricaulis Lehm. Potentilla rubricaulis Lehm. Potentilla vahliana Lehm.,,,,CAN 518388 | CAN 518388-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10063637,,Vascular Plant,"Johansen, Frits",Potentilla uschakovii Jurtz. Potentilla rubricaulis Lehm. Potentilla rubricaulis Lehm. Potentilla pedersenii Rydb. Potentilla vahliana Lehm. Potentilla uschakovii Jurtz.,,,,CAN 518388 | CAN 518388-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10071051,,Vascular Plant,"Johansen, Frits",Hedysarum boreale subsp. mackenziei (Richards.) Welsh,,,,CAN 518388 | CAN 518388-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10071144,,Vascular Plant,"Johansen, Frits",Hedysarum boreale subsp. mackenziei (Richards.) Welsh,,,,CAN 518388 | CAN 518388-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10071143,,Vascular Plant,"Johansen, Frits",Hedysarum boreale subsp. mackenziei (Richards.) Welsh,,,,CAN 518388 | CAN 518388-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10079140,,Vascular Plant,"Johansen, Frits",Armeria subsp. sibirica (Turcz. ex Boiss.) Nyman,,,,CAN 518388 | CAN 518388-Bernard Harbour(NU) | Bernard Harbour,,,1,dry,
CAN 10084017,,Vascular Plant,"Johansen, Frits",Artemisia borealis subsp. richardsoniana (Besser) Korobkov,,,,CAN 108249 | CAN 108249-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10083974,,Vascular Plant,"Johansen, Frits",Artemisia borealis subsp. richardsoniana (Besser) Korobkov Artemisia hyperborea Rydb.,,,,CAN 518389 | CAN 518389-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10087471,,Vascular Plant,"Johansen, Frits",Senecio atropurpureus (Ledeb.) Fedtsch. Senecio atropurpureus (Ledeb.) Fedtsch.,,,,CAN 109960 | CAN 109960 - Bernard Harbour (NU) | Bernard Harbour,,,1,,
CAN 10002823,,Vascular Plant,"Johansen, Frits",Chamaenerion latifolium (Linnaeus) Sweet Chamaenerion latifolium (Linnaeus) Sweet Chamaenerion latifolium (Linnaeus) Sweet,,,,CAN 10002823 Bernard Hbr.,,,1,,
CAN 10037795,,Vascular Plant,"Johansen, Frits",Carex membranacea Hook. Carex membranacea Hook. Carex saxatilis L.,,,,CAN 10037795 Bernard Hbr.,,,1,,
CAN 10063639,,Vascular Plant,"Johansen, Frits",Potentilla uschakovii Jurtz. Potentilla uschakovii Jurtz. Potentilla rubricaulis Lehm. Potentilla vahliana Lehm.,,,,CAN 10063639 | CAN 10063639 | Bernard Harbour.,,,1,,
CMNML 004017,,Mollusc,"Johansen, Frits","Aplexa elongata (Say, 1821)",,,,FJ 1915-08-06 | FJ 1915-08-06,,,1,,
CAN 10012644,,Vascular Plant,"Johansen, Frits",Festuca brachyphylla J.A. Schultes ex J.A. & J.H. Schultes Festuca brachyphylla J.A. Schultes ex J.A. & J.H. Schultes,,,,CAN 38360 | Johansen-7 AUG 1915 | Bernard Harbour,,,1,,
CAN 10017420,,Vascular Plant,"Johansen, Frits",Poa arctica subsp. arctica R.Br.,,,,CAN 35330 | Johansen-7 AUG 1915 | Bernard Harbour,,,1,,
CAN 10012638,,Vascular Plant,"Johansen, Frits",Festuca brachyphylla J.A. Schultes ex J.A. & J.H. Schultes Festuca brachyphylla J.A. Schultes ex J.A. & J.H. Schultes,,,,CAN 503885 | Johansen-7 AUG 1915 | Bernard Harbour,,,1,,
CAN 10017234,,Vascular Plant,"Johansen, Frits",Poa arctica R.Br. Poa arctica R.Br.,,,,CAN 504098 | Johansen-7 AUG 1915 | Bernard Harbour,,,1,,
CAN 10042181,,Vascular Plant,"Johansen, Frits",Tofieldia pusilla (Michx.) Pers. Tofieldia pusilla (Michx.) Pers.,,,,CAN 28018 | CAN 28018-Bernard(NU) | Bernard Harbour,,,1,,
CAN 10042198,,Vascular Plant,"Johansen, Frits",Tofieldia pusilla (Michx.) Pers. Tofieldia pusilla (Michx.) Pers.,,,,CAN 28018 | CAN 28018-Bernard(NU) | Bernard Harbour,,,1,,
CAN 10031983,,Vascular Plant,"Johansen, Frits",Salix reticulata L. Salix reticulata L.,,,,CAN 45729 | CAN 45729-Bernard Harbour(NU) | Bernard Harbour.,,,1,,
CAN 10032190,,Vascular Plant,"Johansen, Frits",Salix richardsonii Hook. Salix richardsonii Hook.,,,,CAN 48290 | CAN 48290-Bernard Harbour(NU) | Bernard Harbour.,,,1,,
CAN 10049422,,Vascular Plant,"Johansen, Frits",Stellaria longipes Goldie Stellaria longipes Goldie,,,,CAN 28018 | CAN 28018-Bernard(NU) | Bernard Harbour,,,1,,
CAN 10049984,,Vascular Plant,"Johansen, Frits",Stellaria longipes Goldie,,,,CAN 28018 | CAN 28018-Bernard(NU) | Bernard Harbour,,,1,,
CAN 10053051,,Vascular Plant,"Johansen, Frits",Braya glabella subsp. purpurascens (R.Br.) Cody,,,,CAN 64187 | CAN 64187-Bernard Harbour(NU),,,1,,
CAN 10055181,,Vascular Plant,"Johansen, Frits",Draba cinerea J.E. Adams Draba cinerea J.E. Adams Draba cinerea J.E. Adams Draba nivalis Lilj.,,,,CAN 518388 | CAN 518388-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10055210,,Vascular Plant,"Johansen, Frits",Draba nivalis Lilj. Draba nivalis Lilj.,,,,CAN 243029 | CAN 243029-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10055408,,Vascular Plant,"Johansen, Frits",Draba oblongata R.Br. Draba oblongata R.Br. Draba corymbosa R. Br. ex DC.,,,,CAN 243029 | CAN 243029-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10060093,,Vascular Plant,"Johansen, Frits",Saxifraga aizoides L. Saxifraga aizoides L.,,,,CAN 243029 | CAN 243029-Bernard Harbour(NU) | Bernard Harbour,,,1,fluid,
CAN 10085437,,Vascular Plant,"Johansen, Frits",Saxifraga cespitosa L.,,,,CAN 518388 | CAN 518388-Bernard Harbour(NU) | Bernard Harbour,,,1,fluid,
CAN 66321,,Vascular Plant,"Johansen, Frits",Saxifraga tricuspidata Rottb. Saxifraga tricuspidata Rottb.,,,,CAN 518388 | CAN 518388-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 503739,,Vascular Plant,"Johansen, Frits",Saxifraga tricuspidata Rottb. Saxifraga tricuspidata Rottb.,,,,CAN 518388 | CAN 518388-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10071569,,Vascular Plant,"Johansen, Frits",Astragalus richardsonii Sheldon Astragalus australis (L.) Lam. Astragalus richardsonii Sheldon,,,,CAN 243029 | CAN 243029-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10059676,,Vascular Plant,"Johansen, Frits",Saxifraga hirculus subsp. propinqua (R. Br.) A. & D. Love Saxifraga hirculus L. Saxifraga hirculus subsp. propinqua (R. Br.) A. & D. Love,,,,CAN 65531 | CAN 65531 - Bernard Harbour (NU) | Bernard Harbour,,,1,,
CAN 10087566,,Vascular Plant,"Johansen, Frits",Senecio atropurpureus (Ledeb.) Fedtsch. Senecio atropurpureus (Ledeb.) Fedtsch.,,,,CAN 38360 | Johansen-7 AUG 1915 | Bernard Harbour,,,1,,
CMNC 2004-1499,,Crustacea,"Johansen, Frits",Monoculopsis longicornis (Boeck 1871),[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,"CMNC 2004-1567 | Johansen 1915 41n | inner harbour, Dolphin and Union Strait",,,1,,
CMNFI 1958-0113.1,,Fish,"Johansen, Frits",Boreogadus saida (Lepechin 1774),,,,"CMNFI 1958-0113 | JOHANSEN-10 AUG 1915-CMNFI 58-0113.1 | Bernard Harbour on Beach, Dolphin and Union Strait",,,1,,
CAN 10051871,,Vascular Plant,"Johansen, Frits",Cardamine digitata Richards. Cardamine digitata Richards.,,,,CAN 28018 | CAN 28018-Bernard(NU) | Bernard Harbour,,,1,,
CAN 10051855,,Vascular Plant,"Johansen, Frits",Cardamine digitata Richards. Cardamine digitata Richards.,,,,CAN 28018 | CAN 28018-Bernard(NU) | Bernard Harbour,,,1,,
CAN 10053340,,Vascular Plant,"Johansen, Frits",Cochlearia officinalis L. Cochlearia officinalis L.,,,,CAN 28018 | CAN 28018-Bernard(NU) | Bernard Harbour,,,1,,
CAN 60073,,Vascular Plant,"Johansen, Frits",Cochlearia officinalis L. Cochlearia officinalis L.,,,,CAN 28018 | CAN 28018-Bernard(NU) | Bernard Harbour,,,1,,
CAN 10061594,,Vascular Plant,"Johansen, Frits",Dryas integrifolia Vahl Dryas integrifolia Vahl Dryas integrifolia Vahl,,,,CAN 243029 | CAN 243029-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10078696,,Vascular Plant,"Johansen, Frits",Vaccinium uliginosum L.,,,,CAN 518388 | CAN 518388-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CMNC 1988-0243,,Crustacea,"Johansen, Frits","Saduria entomon (Linnaeus, 1758)",[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNC 1988-0243 | Johansen 1915 41p | inner harbour; Dolphin and Union Strait,,,7,,
CAN 10091734,,Vascular Plant,"Johansen, Frits",Artemisia hyperborea Rydb.,,,,CAN 108259 | Johansen-14 AUG 1915-108259,,,1,,
CAN 10091647,,Vascular Plant,"Johansen, Frits",Antennaria alpina (L.) Gaertn. Antennaria alpina (L.) Gaertn.,,,,CAN 106127 | Johansen-14 AUG 1915-106127,,,1,,
CAN 10091733,,Vascular Plant,"Johansen, Frits",Artemisia hyperborea Rydb.,,,,CAN 518389 | CAN 518389-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10010593,,Vascular Plant,"Johansen, Frits",Calamagrostis purpurascens R.Br. Calamagrostis purpurascens R.Br.,,,,CAN 503872 | CAN 503872-Bernard Harbour(NU),,,1,,
CAN 10010595,,Vascular Plant,"Johansen, Frits",Calamagrostis purpurascens R.Br. Calamagrostis purpurascens R.Br.,,,,CAN 31790 | CAN 31790-Bernard Harbour(NU),,,1,,
CAN 10055587,,Vascular Plant,"Johansen, Frits",Parrya arctica R.Br. Oxytropis Bunge Parrya arctica R.Br.,,,,CAN 33428 | CAN 33428-Bernard Harbour(NU),,,1,,
CAN 10055778,,Vascular Plant,"Johansen, Frits",Parrya arctica R.Br. Parrya nudicaulis (L.) Boiss. Parrya arctica R.Br.,,,,CAN 243029 | CAN 243029-Bernard Harbour(NU) | Bernard Harbour,,,1,dry,
CAN 10055777,,Vascular Plant,"Johansen, Frits",Parrya arctica R.Br. Parrya nudicaulis (L.) Boiss. Parrya arctica R.Br.,,,,CAN 243029 | CAN 243029-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10055776,,Vascular Plant,"Johansen, Frits",Parrya arctica R.Br. Parrya nudicaulis (L.) Boiss. Parrya arctica R.Br.,,,,CAN 243029 | CAN 243029-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10085678,,Vascular Plant,"Johansen, Frits",Arnica angustifolia subsp. angustifolia Vahl Arnica alpina (L.) Olin Arnica alpina (L.) Olin,,,,CAN 518388 | CAN 518388-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10085696,,Vascular Plant,"Johansen, Frits",Arnica angustifolia subsp. angustifolia Vahl Arnica alpina (L.) Olin,,,,CAN 518388 | CAN 518388-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10077306,,Vascular Plant,"Johansen, Frits",Androsace chamaejasme subsp. lehmanniana (Spreng.) Hulten,,,,CAN 10077306 | CAN 10077306 | Bernard Harbour,,,1,fluid,
CAN 10024726,,Vascular Plant,"Johansen, Frits",Salix arctica Pallas,,,,CAN 46152 | CAN 46152-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CMNML 011672,,Mollusc,"Jenness, Diamond Johansen, Frits","Aplexa elongata (Say, 1821)",,,,"FJ&DJ 1915-08-15 | FJ&DJ 1915-08-15 | 4 mi. N of Kiakiktorvik Hill, Colville Mts",,,1,,
CAN 10078907,,Vascular Plant,"Johansen, Frits",Primula egaliksensis Wormskj. ex Hornem. Primula egaliksensis Wormskj. ex Hornem.,,,,CAN 28018 | CAN 28018-Bernard(NU) | Bernard Harbour,,,1,,
CAN 10054302,,Vascular Plant,"Johansen, Frits",Cardamine pratensis L. Cardamine pratensis L.,,,,CAN 28018 | CAN 28018-Bernard(NU) | Bernard Harbour,,,1,,
CAN 10056145,,Vascular Plant,"Johansen, Frits",Parnassia kotzebuei Cham. & Schlecht. Parnassia kotzebuei Cham. & Schlecht. Parnassia kotzebuei Cham. & Schlecht. Parnassia kotzebuei Cham. & Schlecht.,,,,CAN 518388 | CAN 518388-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10056167,,Vascular Plant,"Johansen, Frits",Parnassia kotzebuei Cham. & Schlecht. Parnassia kotzebuei Cham. & Schlecht.,,,,CAN 243029 | CAN 243029-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CMNML 004015,,Mollusc,"Johansen, F.","Deroceras Rafinesque, 1820",[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,Johansen 1915-08-16 Bernard Harbour | Johansen 1915-08-16 Bernard Harbour,,,1,dry,
CAN 10079138,,Vascular Plant,"Johansen, Frits",Armeria subsp. sibirica (Turcz. ex Boiss.) Nyman,,,,CAN 518388 | CAN 518388-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CAN 10082119,,Vascular Plant,"Johansen, Frits",Campanula uniflora L. Campanula uniflora L.,,,,CAN 518388 | CAN 518388-Bernard Harbour(NU) | Bernard Harbour,,,1,"dried, predator note, from salvelinus alpinus stom",
CAN 10082100,,Vascular Plant,"Johansen, Frits",Campanula uniflora L. Campanula uniflora L.,,,,CAN 518388 | CAN 518388-Bernard Harbour(NU) | Bernard Harbour,,,1,fluid,
CANM 177182,,Bryophyte,"Johansen, Frits",Scorpidium scorpioides (Hedw.) Limpr. Scorpidium scorpioides (Hedw.) Limpr.,,,,CANM 177182 | CANM 177182-Bernard Harbour(NU) | Pond at Bernard Harbour. N.W.T.,,,1,,
CAN 10082101,,Vascular Plant,"Johansen, Frits",Campanula uniflora L. Campanula uniflora L.,,,,CAN 190082101 | CAN 190082101 - Bernard Harbour | Bernard Harbour,,,1,,
CMNML 036375,,Mollusc,"Johansen, Frits","Cephalopoda Cuvier, 1797",,,,CMNML 036375 | JOHANSEN-1915 AUG 22 | Dolphin and Union Strait (Bernard Harbour),,,1,,
CMNI 1900-0668,,General Invertebrate,"Johansen, Frits","Callopora craticula (Alder, 1856)",,,,CMNI 1900-0668 | Johansen-19150824 | 4 miles from entrance: Hudson Bay;Richmond Gulf,,,1,,
CMNFI 1958-0120.1,,Fish,"Johansen, Frits",Myoxocephalus quadricornis (Linnaeus 1758),,,,"CMNFI 1958-0120 | JOHANSEN-25 AUG 1915-CMNFI 58-0120.1 | Bernard Harbour, Dolphin and Union Strait",,,4,,
CMNFI 1958-0124.1,,Fish,"Johansen, Frits",Triglops pingelii Reinhardt 1837,,,,"CMNFI 1958-0124 | JOHANSEN-25 AUG 1915-CMNFI 58-0124.1 | Bernard Harbour, Dolphin and Union Strait",,,1,,
CMNFI 1958-0135.1,,Fish,"Johansen, Frits",Salvelinus alpinus (Linnaeus 1758),,,,"CMNFI 1958-0135 | JOHANSEN-Circa 25 AUG 1915-CMNFI 58-0135.1 | Bernard Harbour, inner Harbour, Dolphin and Union Strait",,,3,,
CAN 10013260,,Vascular Plant,"Johansen, Frits",Festuca rubra (Hack.) Govor. Festuca rubra (Hack.) Govor.,,,,CAN 38058 | Johansen-25 AUG 1915 | Bernard Harbour,,,1,,
CAN 10013263,,Vascular Plant,"Johansen, Frits",Festuca rubra (Hack.) Govor. Festuca rubra (Hack.) Govor.,,,,CAN 507077 | Johansen-25 AUG 1915 | Bernard Harbour,,,2,,
CAN 10008857,,Vascular Plant,"Johansen, Frits",Arctagrostis latifolia subsp. arundinacea (Trin.) Tzvelev,,,,CAN 30957 | CAN 30957-Bernard Harbour(NU) | Bernard Harbour.,,,1,,
CAN 10009184,,Vascular Plant,"Johansen, Frits",Arctagrostis latifolia (R. Br.) Griseb. Arctagrostis latifolia (R. Br.) Griseb.,,,,CAN 504465 | CAN 504465-Bernard Harbour(NU),,,1,,
CAN 10040322,,Vascular Plant,"Johansen, Frits",Juncus arcticus var. alaskanus S.L. Welsh,,,,CAN 10566 | CAN 10566-Bernard(NU),,,1,,
CAN 10040321,,Vascular Plant,"Johansen, Frits",Juncus arcticus var. alaskanus S.L. Welsh,,,,CAN 10565 | CAN 10565-Bernard(NU),,,1,,
CAN 10040616,,Vascular Plant,"Johansen, Frits",Juncus biglumis L. Juncus biglumis L.,,,,CAN 28018 | CAN 28018-Bernard(NU) | Bernard Harbour,,,1,,
CAN 10041211,,Vascular Plant,"Johansen, Frits",Juncus triglumis var. albescens Lange,,,,CAN 28018 | CAN 28018-Bernard(NU) | Bernard Harbour,,,1,,
CAN 10041216,,Vascular Plant,"Johansen, Frits",Juncus triglumis var. albescens Lange,,,,CAN 28018 | CAN 28018-Bernard(NU) | Bernard Harbour,,,1,,
CAN 10040247,,Vascular Plant,"Johansen, Frits",Juncus arcticus Willd. Juncus arcticus Willd.,,,,CAN 28018 | CAN 28018-Bernard(NU) | Bernard Harbour,,,1,,
CAN 10037713,,Vascular Plant,"Johansen, Frits",Carex maritima Gunn. Carex maritima Gunn. Carex maritima Gunn.,,,,CAN 17549 | CAN 17549-Bernard Harbour(NU),,,1,,
CAN 10039568,,Vascular Plant,"Johansen, Frits",Carex scirpoidea Michx. Carex scirpoidea Michx.,,,,CAN 21270 | CAN 21270-Bernard Harbour(NU),,,1,,
CAN 10051005,,Vascular Plant,"Johansen, Frits",Ranunculus pygmaeus Wahlenb. Ranunculus pygmaeus Wahlenb.,,,,CAN 28018 | CAN 28018-Bernard(NU) | Bernard Harbour,,,1,,
CAN 10051006,,Vascular Plant,"Johansen, Frits",Ranunculus pygmaeus Wahlenb. Ranunculus pygmaeus Wahlenb.,,,,CAN 28018 | CAN 28018-Bernard(NU) | Bernard Harbour,,,1,fluid,
CAN 10051358,,Vascular Plant,"Johansen, Frits",Papaver hultenii Knaben Papaver radicatum Rottb. Papaver radicatum Rottb. Papaver nudicaule L. Papaver hultenii Knaben Papaver lapponicum (Tolm.) Nordh.,,,,CAN 509777 | CAN 509777-Bernard Harbour(NU),,,1,fluid,
CAN 10051367,,Vascular Plant,"Johansen, Frits",Papaver hultenii Knaben Papaver hultenii Knaben Papaver radicatum Rottb. Papaver radicatum Rottb. Papaver hultenii Knaben Papaver lapponicum (Tolm.) Nordh.,,,,CAN 509777 | CAN 509777-Bernard Harbour(NU),,,1,fluid,
CAN 10077143,,Vascular Plant,"Johansen, Frits",Androsace septentrionalis L. Androsace septentrionalis L.,,,,"CAN 90904 | CAN 90904-Bernard Harbour(NU) | Bernard Harbour, w. of Coronation Gulf",,,1,fluid,
CAN 10086745,,Vascular Plant,"Johansen, Frits",Erigeron humilis Graham Erigeron humilis Graham Erigeron uniflorus L.,,,,CAN 518388 | CAN 518388-Bernard Harbour(NU) | Bernard Harbour,,,1,fluid,
CAN 10086739,,Vascular Plant,"Johansen, Frits",Erigeron humilis Graham Erigeron humilis Graham Erigeron uniflorus L.,,,,CAN 518388 | CAN 518388-Bernard Harbour(NU) | Bernard Harbour,,,1,,
CMNC 1984-0392,,Crustacea,"Johansen, Frits",Salmincola carpionis (Kroyer 1837) Wilson 1915,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNPA 1900-0514 | Johansen 1915 41u | inner harbour; Dolphin and Union Strait,,,20,,
CMNPA 1900-0514,,Parasite,"Johansen, Frits","Bothrimonus sturionis Duvernoy, 1842",[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNPA 1900-0514 | Johansen 1915 41u | inner harbour; Dolphin and Union Strait,,,50,,
CMNC 1992-0376,,Crustacea,"Johansen, Frits",Thysanoessa raschii,[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNPA 1900-0514 | Johansen 1915 41u | inner harbour; Dolphin and Union Strait,,,1,fluid,
CMNC 2003-1643,,Crustacea,"Johansen, Frits","Weyprechtia pinguis Krøyer, 1838",[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNPA 1900-0514 | Johansen 1915 41u | inner harbour; Dolphin and Union Strait,,,12,,
CMNC 2004-1108,,Crustacea,"Johansen, Frits","Acanthostepheia behringiensis (Lockington, 1877)",[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNPA 1900-0514 | Johansen 1915 41u | inner harbour; Dolphin and Union Strait,,,2,fluid,
CMNC 2004-2406,,Crustacea,"Johansen, Frits","Onisimus Boeck, 1871",[1916-056] Canadian Arctic Expedition:donor (staff field trip),,,CMNPA 1900-0514 | Johansen 1915 41u | inner harbour; Dolphin and Union Strait,,,2,,
